iter	RMSE
0	0.5095636676
1	0.4989961995
2	0.4894345113
3	0.480689336
4	0.4719878428
5	0.4636443364
6	0.4561687771
7	0.4490439774
8	0.442685499
9	0.4370000838
10	0.4313869724
11	0.4260719897
12	0.42082088
13	0.4161960783
14	0.4113833822
15	0.4071096521
16	0.4032010073
17	0.3995164089
18	0.3959526971
19	0.3926068913
20	0.3893372344
21	0.3864260584
22	0.3836383399
23	0.381330905
24	0.3787602421
25	0.3765385783
26	0.3741655021
27	0.3720929001
28	0.3700804333
29	0.3683052586
30	0.366419937
31	0.3648044033
32	0.3634002885
33	0.3615846079
34	0.3601261666
35	0.3584209817
36	0.3569207962
37	0.3554842617
38	0.3540091622
39	0.3527337965
40	0.3515288821
41	0.3501024782
42	0.3489227284
43	0.3479739722
44	0.3468711158
45	0.3457985557
46	0.3446132392
47	0.343554257
48	0.3427747705
49	0.3418154103
50	0.3409365633
51	0.339910528
52	0.3389385698
53	0.3379934472
54	0.3371722429
55	0.3365093017
56	0.3356638778
57	0.3346988478
58	0.3338048129
59	0.333019291
60	0.332334152
61	0.3315583717
62	0.3308920956
63	0.3302712291
64	0.3297624347
65	0.3292408311
66	0.3285988827
67	0.327995295
68	0.3273795985
69	0.3266423349
70	0.3259914728
71	0.3253165495
72	0.3246100341
73	0.3241678593
74	0.3235717357
75	0.3229749983
76	0.3224433509
77	0.3219781007
78	0.3215305956
79	0.3210340294
80	0.3205504995
81	0.3200642737
82	0.3195587497
83	0.319141881
84	0.318661777
85	0.3181741503
86	0.3177158516
87	0.3172358668
88	0.316919993
89	0.3164804434
90	0.3160771161
91	0.3157154114
92	0.3152911791
93	0.3149067577
94	0.3145275778
95	0.3141687416
96	0.3137595875
97	0.3134804623
98	0.3131727074
99	0.3128504561
100	0.3124876737
101	0.3121133539
102	0.3116676421
103	0.3113633789
104	0.3110425105
105	0.3107350448
106	0.3103811675
107	0.3100059628
108	0.3096784701
109	0.3092607203
110	0.3090126533
111	0.3087125771
112	0.3084620497
113	0.30811895
114	0.3078116057
115	0.3075118642
116	0.3072082838
117	0.3069447092
118	0.3066949925
119	0.3064046474
120	0.3061955464
121	0.3058568269
122	0.3055922494
123	0.3053225932
124	0.3049812406
125	0.3047097371
126	0.3045201592
127	0.3042047319
128	0.3040231592
129	0.3038017951
130	0.3035563251
131	0.3032710897
132	0.3031064898
133	0.3028956311
134	0.3026675738
135	0.302489773
136	0.3021972302
137	0.3019321182
138	0.3017172827
139	0.3014200692
140	0.301274707
141	0.3010576903
142	0.3008788929
143	0.3005047338
144	0.3002846808
145	0.2999858794
146	0.2997099446
147	0.2995582419
148	0.299378126
149	0.2992150409
