iter	Passed	Remaining
171	610	2940
172	613	2935
173	616	2928
174	620	2922
175	622	2916
176	625	2909
177	628	2903
178	631	2896
179	634	2890
180	637	2884
181	640	2878
182	643	2872
183	646	2866
184	649	2859
185	651	2853
186	654	2847
187	657	2840
188	660	2833
189	663	2828
190	666	2822
191	669	2817
192	672	2812
193	675	2806
194	678	2800
195	681	2795
196	684	2790
197	688	2786
198	691	2782
199	694	2776
200	697	2773
201	700	2768
202	703	2762
203	706	2757
204	709	2752
205	713	2749
206	716	2745
207	719	2741
208	722	2735
209	725	2729
210	728	2724
211	731	2719
212	734	2715
213	737	2710
214	741	2705
215	744	2701
216	747	2696
217	750	2691
218	753	2686
219	756	2681
220	759	2677
221	762	2673
222	765	2668
223	768	2663
224	771	2658
225	774	2653
226	777	2648
227	781	2644
228	784	2639
229	787	2635
230	790	2630
231	793	2625
232	796	2620
233	799	2616
234	802	2612
235	805	2607
236	808	2603
237	811	2598
238	814	2594
239	817	2589
240	820	2584
241	823	2580
242	826	2576
243	829	2571
244	833	2567
245	836	2562
246	839	2558
247	842	2554
248	845	2550
249	848	2546
250	851	2541
251	854	2537
252	858	2533
253	861	2529
254	864	2525
255	867	2521
256	870	2517
257	873	2512
258	876	2508
259	879	2504
260	883	2501
261	886	2497
262	890	2494
263	893	2490
264	896	2486
265	899	2482
266	902	2478
267	905	2473
268	908	2469
269	912	2466
270	915	2462
271	918	2459
272	922	2456
273	925	2452
274	928	2448
275	932	2445
276	935	2442
277	939	2438
278	942	2434
279	945	2430
280	948	2426
281	951	2423
282	955	2420
283	958	2417
284	962	2414
285	965	2410
286	968	2407
287	972	2403
288	975	2399
289	978	2395
290	981	2392
291	985	2388
292	988	2384
293	991	2380
294	993	2375
295	997	2371
296	1000	2367
297	1003	2363
298	1006	2359
299	1009	2355
300	1012	2351
301	1015	2347
302	1018	2343
303	1021	2339
304	1024	2335
305	1028	2331
306	1031	2328
307	1034	2324
308	1037	2320
309	1040	2316
310	1043	2312
311	1046	2308
312	1049	2304
313	1053	2300
314	1056	2296
315	1059	2292
316	1062	2288
317	1065	2284
318	1068	2280
319	1071	2276
320	1074	2272
321	1077	2268
322	1080	2264
323	1083	2261
324	1087	2257
325	1089	2253
326	1093	2249
327	1096	2245
328	1099	2241
329	1102	2237
330	1105	2233
331	1108	2229
332	1111	2225
333	1114	2222
334	1117	2218
335	1121	2215
336	1124	2212
337	1127	2208
338	1130	2204
339	1134	2201
340	1137	2198
341	1141	2195
342	1144	2192
343	1148	2189
344	1152	2187
345	1155	2183
346	1159	2181
347	1162	2178
348	1166	2176
349	1170	2174
350	1174	2170
351	1177	2167
352	1181	2165
353	1184	2162
354	1188	2159
355	1191	2155
356	1195	2153
357	1198	2149
358	1202	2147
359	1206	2144
360	1209	2141
361	1213	2139
362	1217	2136
363	1221	2133
364	1224	2130
365	1228	2127
366	1232	2125
367	1236	2123
368	1240	2120
369	1243	2117
370	1247	2114
371	1250	2111
372	1254	2108
373	1258	2105
374	1261	2103
375	1265	2099
376	1268	2096
377	1272	2093
378	1276	2090
379	1279	2087
380	1283	2085
381	1287	2082
382	1291	2079
383	1294	2076
384	1298	2073
385	1301	2070
386	1305	2068
387	1309	2065
388	1312	2062
389	1316	2058
390	1319	2055
391	1322	2051
392	1326	2048
393	1329	2045
394	1333	2041
395	1336	2038
396	1340	2035
397	1343	2032
398	1347	2029
399	1350	2025
400	1354	2022
401	1357	2019
402	1361	2016
403	1364	2012
404	1367	2009
405	1372	2007
406	1376	2005
407	1379	2002
408	1383	1999
409	1387	1996
410	1391	1993
411	1394	1990
412	1398	1988
413	1402	1985
414	1406	1982
415	1410	1980
416	1414	1977
417	1418	1975
418	1422	1972
419	1428	1972
420	1432	1969
421	1435	1966
422	1439	1963
423	1443	1960
424	1447	1957
425	1450	1954
426	1454	1951
427	1458	1949
428	1462	1946
429	1466	1943
430	1469	1940
431	1473	1937
432	1477	1935
433	1481	1932
434	1485	1929
435	1488	1925
436	1492	1922
437	1495	1919
438	1499	1915
439	1502	1912
440	1506	1909
441	1510	1906
442	1514	1903
443	1517	1900
444	1521	1896
445	1524	1893
446	1527	1889
447	1531	1886
448	1534	1883
449	1537	1879
450	1541	1876
451	1544	1872
452	1547	1868
453	1551	1865
454	1554	1861
455	1557	1858
456	1561	1855
457	1564	1851
458	1568	1848
459	1571	1844
460	1574	1840
461	1577	1837
462	1581	1833
463	1584	1830
464	1588	1827
465	1591	1823
466	1594	1819
467	1597	1816
468	1601	1812
469	1604	1809
470	1608	1806
471	1611	1802
472	1614	1798
473	1617	1795
474	1620	1791
475	1624	1787
476	1627	1784
477	1630	1780
478	1634	1777
479	1637	1774
480	1640	1770
481	1643	1766
482	1647	1763
483	1650	1759
484	1654	1756
485	1657	1753
486	1661	1749
487	1664	1746
488	1667	1742
489	1670	1738
490	1673	1735
491	1677	1731
492	1680	1727
493	1683	1724
494	1686	1720
495	1689	1716
496	1692	1713
497	1695	1709
498	1699	1705
499	1702	1702
500	1705	1698
501	1708	1694
502	1712	1691
503	1715	1688
504	1719	1685
505	1722	1681
506	1725	1678
507	1729	1674
508	1732	1671
509	1735	1667
510	1738	1663
511	1741	1660
512	1744	1656
513	1747	1652
514	1750	1648
515	1754	1645
516	1757	1641
517	1760	1637
518	1762	1633
519	1765	1630
520	1768	1626
521	1771	1622
522	1774	1618
523	1778	1615
524	1781	1611
525	1784	1607
526	1787	1604
527	1790	1600
528	1793	1596
529	1796	1592
530	1799	1589
531	1801	1585
532	1804	1581
533	1808	1577
534	1811	1574
535	1814	1570
536	1816	1566
537	1819	1562
538	1822	1559
539	1826	1555
540	1829	1551
541	1832	1548
542	1835	1544
543	1838	1540
544	1841	1537
545	1844	1533
546	1847	1529
547	1850	1526
548	1853	1522
549	1856	1518
550	1858	1514
551	1862	1511
552	1865	1507
553	1868	1503
554	1870	1500
555	1873	1496
556	1876	1492
557	1879	1488
558	1881	1484
559	1884	1480
560	1887	1477
561	1890	1473
562	1893	1469
563	1896	1465
564	1899	1462
565	1901	1458
566	1905	1454
567	1908	1451
568	1911	1447
569	1913	1443
570	1916	1440
571	1919	1436
572	1922	1432
573	1926	1429
574	1929	1425
575	1931	1422
576	1934	1418
577	1937	1414
578	1940	1410
579	1943	1407
580	1946	1403
581	1948	1399
582	1951	1395
583	1954	1392
584	1957	1388
585	1960	1384
586	1963	1381
587	1965	1377
588	1968	1373
589	1971	1370
590	1974	1366
591	1977	1362
592	1980	1359
593	1983	1355
594	1986	1352
595	1989	1348
596	1992	1344
597	1995	1341
598	1998	1337
599	2001	1334
600	2004	1330
601	2007	1327
602	2010	1323
603	2013	1319
604	2016	1316
605	2018	1312
606	2021	1308
607	2024	1305
608	2027	1301
609	2030	1297
610	2033	1294
611	2035	1290
612	2038	1287
613	2041	1283
614	2044	1280
615	2047	1276
616	2050	1273
617	2053	1269
618	2056	1265
619	2060	1262
620	2062	1258
621	2065	1255
622	2068	1251
623	2071	1248
624	2074	1244
625	2077	1241
626	2080	1237
627	2083	1234
628	2086	1230
629	2089	1226
630	2091	1223
631	2095	1219
632	2098	1216
633	2101	1213
634	2104	1209
635	2107	1206
636	2110	1202
637	2113	1199
638	2116	1195
639	2119	1192
640	2122	1188
641	2125	1185
642	2128	1181
643	2131	1178
644	2134	1174
645	2137	1171
646	2140	1167
647	2143	1164
648	2146	1160
649	2149	1157
650	2152	1154
651	2155	1150
652	2158	1147
653	2161	1143
654	2164	1140
655	2168	1136
656	2170	1133
657	2173	1129
658	2177	1126
659	2180	1123
660	2183	1119
661	2186	1116
662	2189	1112
663	2192	1109
664	2195	1106
665	2198	1102
666	2202	1099
667	2205	1096
668	2208	1092
669	2211	1089
670	2214	1085
671	2217	1082
672	2220	1079
673	2223	1075
674	2227	1072
675	2230	1069
676	2233	1065
677	2236	1062
678	2239	1058
679	2242	1055
680	2245	1051
681	2248	1048
682	2251	1044
683	2254	1041
684	2257	1038
685	2260	1034
686	2264	1031
687	2266	1028
688	2269	1024
689	2272	1021
690	2275	1017
691	2278	1014
692	2281	1010
693	2284	1007
694	2287	1004
695	2290	1000
696	2293	997
697	2296	993
698	2299	990
699	2303	987
700	2306	983
701	2310	980
702	2313	977
703	2316	974
704	2319	970
705	2323	967
706	2326	963
707	2329	960
708	2333	957
709	2337	954
710	2340	951
711	2344	948
712	2347	944
713	2351	941
714	2355	938
715	2358	935
716	2362	932
717	2366	929
718	2369	926
719	2372	922
720	2376	919
721	2379	916
722	2382	912
723	2386	909
724	2390	906
725	2393	903
726	2397	900
727	2401	897
728	2404	893
729	2408	890
730	2412	887
731	2415	884
732	2418	881
733	2422	877
734	2425	874
735	2429	871
736	2432	868
737	2436	865
738	2440	861
739	2443	858
740	2446	855
741	2450	851
742	2453	848
743	2456	845
744	2460	842
745	2463	838
746	2467	835
747	2470	832
748	2473	829
749	2477	825
750	2480	822
751	2483	819
752	2487	815
753	2490	812
754	2493	809
755	2496	805
756	2499	802
757	2502	799
758	2506	795
759	2509	792
760	2513	789
761	2516	785
762	2519	782
763	2523	779
764	2526	776
765	2529	772
766	2532	769
767	2535	766
768	2539	762
769	2542	759
770	2545	756
771	2549	752
772	2552	749
773	2555	746
774	2559	743
775	2562	739
776	2566	736
777	2569	733
778	2572	729
779	2576	726
780	2579	723
781	2582	720
782	2586	716
783	2590	713
784	2593	710
785	2596	706
786	2599	703
787	2603	700
788	2606	697
789	2609	693
790	2612	690
791	2616	687
792	2619	683
793	2622	680
794	2626	677
795	2629	673
796	2634	670
797	2637	667
798	2640	664
799	2643	660
800	2647	657
801	2650	654
802	2653	651
803	2657	647
804	2660	644
805	2664	641
806	2667	637
807	2670	634
808	2674	631
809	2677	628
810	2681	624
811	2684	621
812	2688	618
813	2691	614
814	2694	611
815	2698	608
816	2702	605
817	2705	602
818	2709	598
819	2713	595
820	2716	592
821	2719	588
822	2723	585
823	2726	582
824	2729	579
825	2733	575
826	2737	572
827	2740	569
828	2743	565
829	2747	562
830	2750	559
831	2753	555
832	2756	552
833	2760	549
834	2763	546
835	2766	542
836	2770	539
837	2773	536
838	2776	532
839	2780	529
840	2783	526
841	2786	522
842	2789	519
843	2793	516
844	2796	513
845	2800	509
846	2803	506
847	2806	503
848	2809	499
849	2812	496
850	2816	493
851	2819	489
852	2822	486
853	2825	483
854	2829	479
855	2832	476
856	2836	473
857	2839	469
858	2843	466
859	2846	463
860	2849	460
861	2853	456
862	2856	453
863	2859	450
864	2863	446
865	2866	443
866	2869	440
867	2873	436
868	2876	433
869	2879	430
870	2882	426
871	2885	423
872	2889	420
873	2892	417
874	2895	413
875	2899	410
876	2902	407
877	2906	403
878	2909	400
879	2912	397
880	2915	393
881	2919	390
882	2922	387
883	2925	383
884	2928	380
885	2932	377
886	2935	373
887	2938	370
888	2941	367
889	2944	363
890	2948	360
891	2951	357
892	2954	354
893	2957	350
894	2961	347
895	2964	344
896	2967	340
897	2971	337
898	2974	334
899	2978	330
900	2981	327
901	2984	324
902	2988	321
903	2992	317
904	2995	314
905	2998	311
906	3001	307
907	3004	304
908	3007	301
909	3010	297
910	3014	294
911	3017	291
912	3020	287
913	3023	284
914	3027	281
915	3030	277
916	3033	274
917	3037	271
918	3040	268
919	3044	264
920	3047	261
921	3050	258
922	3054	254
923	3057	251
924	3060	248
925	3063	244
926	3067	241
927	3070	238
928	3073	234
929	3076	231
930	3079	228
931	3083	224
932	3086	221
933	3090	218
934	3093	215
935	3096	211
936	3099	208
937	3103	205
938	3106	201
939	3109	198
940	3113	195
941	3116	191
942	3120	188
943	3123	185
944	3126	181
945	3130	178
946	3133	175
947	3136	172
948	3139	168
949	3143	165
950	3146	162
951	3149	158
952	3152	155
953	3155	152
954	3159	148
955	3162	145
956	3165	142
957	3169	138
958	3172	135
959	3176	132
960	3179	129
961	3182	125
962	3186	122
963	3190	119
964	3193	115
965	3196	112
966	3200	109
967	3203	105
968	3206	102
969	3209	99
970	3213	95
971	3216	92
972	3219	89
973	3223	86
974	3226	82
975	3229	79
976	3233	76
977	3236	72
978	3239	69
979	3242	66
980	3245	62
981	3249	59
982	3252	56
983	3256	52
984	3259	49
985	3263	46
986	3266	43
987	3269	39
988	3273	36
989	3276	33
990	3279	29
991	3282	26
992	3286	23
993	3289	19
994	3292	16
995	3295	13
996	3299	9
997	3302	6
998	3305	3
999	3309	0
